,Unnamed: 0,name,genre_action,genre_adventure,genre_arcade,genre_board games,genre_card,genre_casual,genre_educational,genre_family,genre_fighting,genre_indie,genre_massively multiplayer,genre_platformer,genre_puzzle,genre_rpg,genre_racing,genre_shooter,genre_simulation,genre_sports,genre_strategy,tag_local multiplayer,tag_fantasy,tag_violent,tag_free to play,tag_anime,tag_online multiplayer,tag_great soundtrack,tag_split screen,tag_pixel graphics,tag_story rich,tag_vr,tag_co-op,tag_horror,tag_atmospheric,tag_early access,tag_partial controller support,tag_2d,tag_multiplayer,tag_full controller support,tag_steam cloud,tag_singleplayer,platform_3do,platform_atari,platform_commodore / amiga,platform_sega,platform_neo geo,platform_web,platform_linux,platform_android,platform_nintendo,platform_apple macintosh,platform_ios,platform_xbox,platform_playstation,platform_pc,background_image,esrb_rating.id,owners,price,total_reviews,review_score,released_month,1r,1g,1b,2r,2g,2b,3r,3g,3b,4r,4g,4b,5r,5g,5b
227,227,Owlboy,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,https://media.rawg.io/media/games/0fc/0fc933e3dfbbf4306840ef429d73fa9a.jpg,0,"200,000 .. 500,000",2499,5140,0.851167315,10,198.7362637,194.0604396,114.8846154,102.2520799,233.3860233,220.7603993,64.58548009,91.57611241,34.05386417,186.1670683,234.7373494,231.3879518,104.5459559,141.0422794,85.61764706
228,228,Streets of Rage 4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,https://media.rawg.io/media/games/e56/e56d74b0a1072662eea7c1a194363884.jpg,0,"500,000 .. 1,000,000",2499,13331,0.922736479,4,42.93302181,22.81308411,18.65732087,252.343465,163.3080041,17.49392097,173.2252632,80.35368421,39.34736842,212.303125,194.009375,156.81875,83.11111111,116.7460317,130.9047619
229,229,Sang-Froid - Tales of Werewolves,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://media.rawg.io/media/screenshots/6ec/6ec7245a6a69fa45d49cfc8a37787865.jpg,0,"200,000 .. 500,000",0,1834,0.87568157,4,74.55453351,41.62155059,37.75558476,246.2172619,218.1904762,208.9464286,11.69405099,7.609065156,6.930878187,225.991453,79.14245014,81.38746439,132.6020672,122.8656331,89.36692506
230,230,Beneath a Steel Sky,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,https://media.rawg.io/media/screenshots/f6b/f6b3338889ec877c9d3d89fc4f665152.jpg,3,"50,000 .. 100,000",0,266,0.909774436,4,2.045399516,2.353510896,3.482445521,176.5124224,166.5015528,155.6226708,6.283464567,107.8110236,147.7972441,117.3312629,110.0869565,109.0227743,47.45367412,59.22044728,67.36421725
231,231,Sacred 2 Gold,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://media.rawg.io/media/screenshots/91c/91c1591ddd37ca1b8c1d3f5cd2fcde72.jpg,0,"500,000 .. 1,000,000",1499,2663,0.749155088,11,57.97121212,60.60075758,70.83484848,85.4548105,109.5014577,117.9941691,83.97311828,178.6182796,201.2956989,135.5849057,20.3490566,14.09433962,35.90638298,35.92705167,45.68753799
232,232,The Dark Pictures Anthology: Man of Medan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://media.rawg.io/media/games/206/2060eda39e4646bbe90b55ab7495c173.jpg,4,"200,000 .. 500,000",2999,7322,0.733952472,8,11.47606727,105.7697283,93.19663648,239.2963918,232.8576031,224.1140464,135.5814536,150.9749373,129.7969925,100.9633028,97.08256881,74.70336391,18.89617486,45.90346084,36.42440801
233,233,Out There Somewhere,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,https://media.rawg.io/media/screenshots/ddb/ddbcf3f1330e146094b0ce211e33090a.jpg,0,"200,000 .. 500,000",99,6865,0.930371449,3,27.77216239,16.49710025,17.85832643,14.71084337,54.57228916,86.28313253,56.23529412,57.86096257,40.60427807,87.13157895,100.3289474,98.77631579,9.963849287,4.101323829,8.15885947
234,234,Beyond Divinity,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,https://media.rawg.io/media/games/f69/f69d51606fb5d72b462c75e8de9383f5.jpg,3,"200,000 .. 500,000",599,514,0.53307393,4,110.3907285,78.31456954,51.08940397,25.21513353,20.04154303,16.00890208,217.0252294,101.1376147,32.38990826,245.1006517,226.102824,170.2954381,234.638166,182.6976456,96.78438662
235,235,Octodad: Dadliest Catch,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,https://media.rawg.io/media/games/41e/41e431c48530788de5e8bddf8dcfba32.jpg,0,"500,000 .. 1,000,000",1499,8538,0.934059499,1,223.3149351,222.2467532,202.8295455,33.98556999,56.62049062,83.01154401,113.0948276,96.13103448,43.58103448,207.4528302,153.3070326,21.09090909,167.5177305,167.5141844,124.3421986
236,236,Uplink,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,https://media.rawg.io/media/screenshots/e22/e22da89ed54225d0c4687a6ef5d0f765.jpeg,2,"500,000 .. 1,000,000",999,2093,0.911610129,8,92.91788856,119.4692082,192.2932551,18.69263158,27.38736842,51.47578947,19.27075099,30.59486166,133.0652174,209.8090909,151.9272727,125.6636364,1.346402214,2.376845018,2.013837638
